#Data tag : 24v2 , Norm tag: composite
# brilcalc lumi --normtag /cvmfs/cms-bril.cern.ch/cms-lumi-pog/Normtags/normtag_PHYSICS.json -u /fb --begin 366442 --end 370790  > lumi_2023.txt
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 367111:8730 | 05/07/23 07:23:37 | 299  | 290  | 0.058218083    | 0.052047114   |
| 367112:8730 | 05/07/23 09:19:36 | 1446 | 1446 | 0.257665759    | 0.246089773   |
| 367127:8731 | 05/07/23 20:42:10 | 341  | 334  | 0.102336563    | 0.093080190   |
| 367128:8731 | 05/07/23 22:54:20 | 20   | 15   | 0.006910010    | 0.003390780   |
| 367129:8731 | 05/07/23 23:01:54 | 10   | 6    | 0.003377385    | 0.001082784   |
| 367130:8731 | 05/07/23 23:05:47 | 172  | 167  | 0.049776920    | 0.043968141   |
| 367131:8731 | 05/08/23 00:12:34 | 152  | 149  | 0.040669596    | 0.038008307   |
| 367132:8731 | 05/08/23 01:11:22 | 4    | 1    | 0.001148440    | 0.000017096   |
| 367133:8731 | 05/08/23 01:12:46 | 360  | 333  | 0.102090033    | 0.080106198   |
| 367134:8731 | 05/08/23 03:32:16 | 113  | 113  | 0.024843235    | 0.023843551   |
| 367228:8736 | 05/08/23 21:45:49 | 258  | 253  | 0.064665668    | 0.057729147   |
| 367229:8736 | 05/08/23 23:25:47 | 50   | 45   | 0.017080574    | 0.013201059   |
| 367230:8736 | 05/08/23 23:44:57 | 10   | 4    | 0.003364847    | 0.000391102   |
| 367231:8736 | 05/08/23 23:48:31 | 29   | 22   | 0.009985731    | 0.006913092   |
| 367232:8736 | 05/08/23 23:59:29 | 1000 | 996  | 0.324839543    | 0.309857849   |
| 367233:8736 | 05/09/23 06:27:56 | 14   | 3    | 0.003971002    | 0             |
| 367234:8736 | 05/09/23 06:33:08 | 513  | 513  | 0.133090617    | 0.128174576   |
| 367260:8738 | 05/09/23 16:06:01 | 207  | 202  | 0.058309418    | 0.050197602   |
| 367261:8738 | 05/09/23 17:26:07 | 16   | 10   | 0.005157378    | 0.000003808   |
| 367262:8738 | 05/09/23 17:32:02 | 280  | 272  | 0.095778795    | 0.085592902   |
| 367263:8738 | 05/09/23 19:20:29 | 28   | 21   | 0.009417920    | 0.004237545   |
| 367264:8738 | 05/09/23 19:31:14 | 857  | 857  | 0.231218879    | 0.220110113   |
| 367267:8739 | 05/10/23 03:36:43 | 288  | 280  | 0.069280113    | 0.062128009   |
| 367268:8739 | 05/10/23 05:28:21 | 14   | 5    | 0.004747173    | 0.000000561   |
| 367269:8739 | 05/10/23 05:33:29 | 40   | 33   | 0.013679797    | 0.009490568   |
| 367270:8739 | 05/10/23 05:48:56 | 977  | 962  | 0.291864018    | 0.273180799   |
| 367271:8739 | 05/10/23 12:08:10 | 143  | 143  | 0.031850916    | 0.030376725   |
| 367312:8741 | 05/10/23 19:23:09 | 237  | 219  | 0.051873393    | 0.043082766   |
| 367314:8741 | 05/10/23 20:55:00 | 43   | 36   | 0.015053477    | 0.008893972   |
| 367315:8741 | 05/10/23 21:11:42 | 909  | 904  | 0.258684618    | 0.247589498   |
| 367334:8746 | 05/11/23 09:40:12 | 311  | 300  | 0.096908946    | 0.084942621   |
| 367336:8746 | 05/11/23 11:40:58 | 177  | 169  | 0.069409976    | 0.063212319   |
| 367337:8746 | 05/11/23 12:49:42 | 1067 | 1067 | 0.303368307    | 0.291713111   |
| 367355:8750 | 05/12/23 01:29:48 | 15   | 11   | 0.001520920    | 0.001268771   |
| 367406:8754 | 05/12/23 14:37:47 | 488  | 482  | 0.186134167    | 0.169845279   |
| 367413:8754 | 05/12/23 17:47:14 | 1403 | 1367 | 0.469354587    | 0.435079040   |
| 367415:8754 | 05/13/23 02:52:02 | 126  | 120  | 0.029351220    | 0.027099019   |
| 367416:8754 | 05/13/23 03:40:55 | 64   | 64   | 0.013673675    | 0.012885729   |
| 367475:8771 | 05/14/23 10:32:46 | 584  | 580  | 0.241238570    | 0.219460734   |
| 367476:8771 | 05/14/23 14:19:39 | 10   | 5    | 0.004189402    | 0.000005113   |
| 367477:8771 | 05/14/23 14:23:22 | 1309 | 1309 | 0.410197013    | 0.394093634   |
| 367515:8773 | 05/15/23 05:37:44 | 646  | 626  | 0.259833905    | 0.232790473   |
| 367516:8773 | 05/15/23 09:48:44 | 1244 | 1244 | 0.435559928    | 0.411485006   |
| 367552:8775 | 05/15/23 22:20:49 | 18   | 13   | 0.002285774    | 0.001273273   |
| 367553:8775 | 05/15/23 22:27:38 | 650  | 645  | 0.276550649    | 0.259684302   |
| 367554:8775 | 05/16/23 02:39:53 | 316  | 316  | 0.129569696    | 0.122670136   |
| 367589:8778 | 05/16/23 12:46:05 | 778  | 730  | 0.000385023    | 0.000340640   |
| 367591:8778 | 05/16/23 17:48:01 | 43   | 37   | 0.000034123    | 0.000027528   |
| 367592:8778 | 05/16/23 18:04:42 | 22   | 17   | 0.000017263    | 0.000010816   |
| 367593:8778 | 05/16/23 18:13:15 | 101  | 101  | 0.000072381    | 0.000070084   |
| 367615:8782 | 05/17/23 02:48:47 | 477  | 472  | 0.190980271    | 0.175794323   |
| 367616:8782 | 05/17/23 05:54:08 | 11   | 7    | 0.004846901    | 0.000004814   |
| 367617:8782 | 05/17/23 05:58:07 | 17   | 11   | 0.007454810    | 0.000022321   |
| 367618:8782 | 05/17/23 06:04:33 | 349  | 341  | 0.151204503    | 0.135889691   |
| 367619:8782 | 05/17/23 08:19:47 | 585  | 585  | 0.190999128    | 0.183951675   |
| 367661:8784 | 05/17/23 22:24:20 | 324  | 318  | 0.120565943    | 0.110010458   |
| 367662:8784 | 05/18/23 00:29:53 | 23   | 19   | 0.010409906    | 0.007682705   |
| 367663:8784 | 05/18/23 00:38:47 | 24   | 5    | 0.010708030    | 0.000557188   |
| 367664:8784 | 05/18/23 00:47:59 | 9    | 3    | 0.003999701    | 0.000000287   |
| 367665:8784 | 05/18/23 00:51:18 | 280  | 271  | 0.126904088    | 0.113724192   |
| 367666:8784 | 05/18/23 02:39:54 | 107  | 107  | 0.039337124    | 0.034711012   |
| 367691:8786 | 05/18/23 12:44:56 | 178  | 170  | 0.057702087    | 0.044948933   |
| 367692:8786 | 05/18/23 13:53:44 | 14   | 5    | 0.006432917    | 0.000000451   |
| 367693:8786 | 05/18/23 13:58:59 | 47   | 35   | 0.021399664    | 0.014421456   |
| 367694:8786 | 05/18/23 14:17:01 | 29   | 24   | 0.013440526    | 0.000001202   |
| 367695:8786 | 05/18/23 14:28:11 | 9    | 2    | 0.003973261    | 0.000058007   |
| 367696:8786 | 05/18/23 14:31:37 | 1929 | 1921 | 0.678678878    | 0.642420012   |
| 367697:8786 | 05/19/23 03:01:02 | 36   | 17   | 0.008105890    | 0.001104450   |
| 367699:8786 | 05/19/23 03:14:55 | 159  | 159  | 0.031474870    | 0.030485989   |
| 367730:8794 | 05/19/23 17:39:55 | 531  | 531  | 0.209208064    | 0.194871953   |
| 367742:8796 | 05/20/23 03:15:54 | 416  | 416  | 0.162772950    | 0.155147752   |
| 367758:8804 | 05/21/23 03:46:52 | 722  | 722  | 0.294015755    | 0.279321223   |
| 367770:8807 | 05/21/23 14:39:17 | 157  | 153  | 0.050087130    | 0.045010230   |
| 367771:8807 | 05/21/23 15:40:13 | 96   | 91   | 0.046051114    | 0.040964021   |
| 367772:8807 | 05/21/23 16:17:11 | 11   | 11   | 0.003542719    | 0.002890279   |
| 367789:8811 | 05/22/23 02:54:28 | 5    | 0    | 0.001332405    | 0             |
| 367790:8811 | 05/22/23 02:56:12 | 180  | 170  | 0.054236431    | 0.050552853   |
| 367831:8816 | 05/22/23 17:57:53 | 468  | 460  | 0.196333015    | 0.185986527   |
| 367836:8817 | 05/23/23 00:05:48 | 546  | 543  | 0.237941355    | 0.224288042   |
| 367837:8817 | 05/23/23 03:37:53 | 7    | 2    | 0.003316947    | 0.000008215   |
| 367838:8817 | 05/23/23 03:40:32 | 803  | 793  | 0.347309121    | 0.327161343   |
| 367840:8817 | 05/23/23 08:52:14 | 617  | 617  | 0.186739775    | 0.178932277   |
| 367881:8821 | 05/23/23 23:37:24 | 150  | 142  | 0.055525065    | 0.048474468   |
| 367882:8821 | 05/24/23 00:35:26 | 14   | 5    | 0.006863658    | 0.000000067   |
| 367883:8821 | 05/24/23 00:40:40 | 1059 | 1050 | 0.505899037    | 0.475578217   |
| 367884:8821 | 05/24/23 07:31:57 | 1021 | 1021 | 0.334079759    | 0.321594389   |
| 367902:8822 | 05/24/23 17:32:12 | 242  | 234  | 0.097382151    | 0.087507111   |
| 367903:8822 | 05/24/23 19:06:14 | 5    | 2    | 0.002446540    | 0.000007937   |
| 367904:8822 | 05/24/23 19:07:59 | 112  | 103  | 0.054403655    | 0.045306470   |
| 367905:8822 | 05/24/23 19:51:10 | 63   | 49   | 0.030713008    | 0.021649382   |
| 367906:8822 | 05/24/23 20:15:19 | 351  | 344  | 0.171289695    | 0.153387009   |
| 367907:8822 | 05/24/23 22:31:40 | 127  | 120  | 0.061711650    | 0.051875603   |
| 367908:8822 | 05/24/23 23:20:49 | 361  | 358  | 0.156613105    | 0.145629397   |
| 367909:8822 | 05/25/23 01:41:03 | 9    | 2    | 0.003501952    | 0.000005700   |
| 367910:8822 | 05/25/23 01:44:16 | 610  | 610  | 0.201226841    | 0.194308994   |
| 368223:8850 | 05/30/23 17:28:11 | 449  | 445  | 0.052049729    | 0.044164356   |
| 368224:8850 | 05/30/23 20:22:23 | 64   | 64   | 0.007599262    | 0.006973622   |
