# brilcalc lumi --normtag /cvmfs/cms-bril.cern.ch/cms-lumi-pog/Normtags/normtag_PHYSICS.json -u /fb --begin 378981 --end 386951 -b "STABLE BEAMS" > lumi_2024.txt
#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+------+----------------+---------------+
| run:fill     | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 379425:9519  | 04/15/24 02:03:05 | 210  | 210  | 0.039495042    | 0.037172976   |
| 379433:9520  | 04/15/24 05:12:24 | 31   | 29   | 0.001750890    | 0.001579091   |
| 379442:9521  | 04/15/24 07:07:23 | 283  | 274  | 0.056053636    | 0.052771605   |
| 379454:9523  | 04/15/24 11:24:35 | 522  | 510  | 0.113813616    | 0.100720158   |
| 379456:9523  | 04/15/24 14:47:09 | 1207 | 1207 | 0.214604523    | 0.201521477   |
| 379470:9525  | 04/16/24 00:37:39 | 810  | 810  | 0.178958924    | 0.168064850   |
| 379523:9529  | 04/16/24 19:04:01 | 71   | 62   | 0.000032076    | 0.000023306   |
| 379524:9529  | 04/16/24 19:31:20 | 438  | 438  | 0.000321281    | 0.000314915   |
| 379530:9530  | 04/17/24 01:11:50 | 603  | 603  | 0.194687880    | 0.181629862   |
| 379613:9537  | 04/18/24 03:19:30 | 137  | 131  | 0.037597652    | 0.030672278   |
| 379614:9537  | 04/18/24 04:12:31 | 8    | 2    | 0.002767377    | 0.000000233   |
| 379615:9537  | 04/18/24 04:15:35 | 12   | 5    | 0.004165068    | 0.000000362   |
| 379616:9537  | 04/18/24 04:19:59 | 10   | 3    | 0.003464367    | 0.000019651   |
| 379617:9537  | 04/18/24 04:23:35 | 670  | 665  | 0.228025409    | 0.212647181   |
| 379618:9537  | 04/18/24 08:43:50 | 371  | 366  | 0.105580933    | 0.100035297   |
| 379619:9537  | 04/18/24 11:07:45 | 69   | 69   | 0.017290607    | 0.016670349   |
| 379660:9539  | 04/18/24 16:48:17 | 1517 | 1509 | 0.439569573    | 0.421968451   |
| 379661:9539  | 04/19/24 02:37:20 | 430  | 430  | 0.085416016    | 0.083525150   |
| 379729:9543  | 04/19/24 17:37:59 | 1480 | 1480 | 0.462294977    | 0.448080565   |
| 379765:9548  | 04/20/24 14:02:38 | 1707 | 1698 | 0.561822938    | 0.531793721   |
| 379766:9548  | 04/21/24 01:05:48 | 30   | 3    | 0.006454303    | 0             |
| 379774:9549  | 04/21/24 03:13:34 | 158  | 158  | 0.052517285    | 0.050052055   |
| 379866:9559  | 04/23/24 20:37:32 | 1348 | 1348 | 0.282875087    | 0.275394038   |
| 379984:9562  | 04/25/24 11:47:12 | 926  | 926  | 0.242764957    | 0.235691841   |
| 380001:9564  | 04/25/24 20:38:30 | 698  | 698  | 0.241225030    | 0.232805746   |
| 380005:9565  | 04/26/24 03:09:32 | 1083 | 1071 | 0.375588409    | 0.355065112   |
| 380006:9565  | 04/26/24 10:09:58 | 6    | 2    | 0.001776607    | 0.000005686   |
| 380007:9565  | 04/26/24 10:12:08 | 143  | 143  | 0.039345409    | 0.037166613   |
| 380029:9566  | 04/26/24 15:01:57 | 92   | 83   | 0.024072684    | 0.015233277   |
| 380030:9566  | 04/26/24 15:37:30 | 389  | 354  | 0.165145269    | 0.139138341   |
| 380031:9566  | 04/26/24 18:08:27 | 14   | 7    | 0.005947750    | 0.000000358   |
| 380032:9566  | 04/26/24 18:13:32 | 175  | 167  | 0.070462906    | 0.063353389   |
| 380033:9566  | 04/26/24 19:21:25 | 62   | 62   | 0.024179163    | 0.022682899   |
| 380043:9567  | 04/26/24 22:44:07 | 907  | 906  | 0.362355673    | 0.344711227   |
| 380049:9568  | 04/27/24 07:09:50 | 883  | 873  | 0.359741204    | 0.335721988   |
| 380050:9568  | 04/27/24 12:52:40 | 9    | 4    | 0.003318278    | 0.000038143   |
| 380051:9568  | 04/27/24 12:55:48 | 747  | 735  | 0.230835391    | 0.219469057   |
| 380052:9568  | 04/27/24 17:45:43 | 31   | 22   | 0.007927234    | 0.002885404   |
| 380053:9568  | 04/27/24 17:57:47 | 148  | 128  | 0.036571990    | 0.030788647   |
| 380056:9568  | 04/27/24 18:55:05 | 175  | 175  | 0.038712283    | 0.037043524   |
| 380066:9569  | 04/27/24 22:16:56 | 560  | 558  | 0.222284908    | 0.211568467   |
| 380074:9570  | 04/28/24 06:23:17 | 1312 | 1312 | 0.491231968    | 0.470048346   |
| 380115:9573  | 04/29/24 09:41:42 | 1802 | 1802 | 0.638226143    | 0.613125398   |
| 380126:9574  | 04/29/24 23:29:12 | 963  | 955  | 0.412211816    | 0.382839055   |
| 380127:9574  | 04/30/24 05:43:19 | 545  | 536  | 0.179245484    | 0.170658997   |
| 380128:9574  | 04/30/24 09:15:04 | 404  | 395  | 0.107869278    | 0.102184993   |
| 380129:9574  | 04/30/24 11:51:45 | 3    | 3    | 0.000809341    | 0.000798334   |
| 380194:9575  | 04/30/24 22:54:15 | 7    | 0    | 0.000841267    | 0             |
| 380195:9575  | 04/30/24 22:56:49 | 177  | 170  | 0.071792387    | 0.041117494   |
| 380196:9575  | 05/01/24 00:05:16 | 12   | 6    | 0.005502219    | 0.002025144   |
| 380197:9575  | 05/01/24 00:09:50 | 365  | 365  | 0.167349948    | 0.157875222   |
| 380235:9579  | 05/01/24 17:29:02 | 266  | 259  | 0.106397911    | 0.096283688   |
| 380236:9579  | 05/01/24 19:12:09 | 85   | 78   | 0.039144087    | 0.029366568   |
| 380237:9579  | 05/01/24 19:44:58 | 47   | 39   | 0.021438712    | 0.015853775   |
| 380238:9579  | 05/01/24 20:02:54 | 45   | 41   | 0.016360503    | 0.015090391   |
